Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
,,,,0:00,0.00,81,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,140,0.00
,,,,0:00,0.00,82,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,141,0.00
,,,,0:00,0.00,83,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,142,0.00
,,,,0:00,0.00,84,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,143,0.00
,,,,0:00,0.00,85,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,144,0.00
,,,,0:00,0.00,86,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,145,0.00
,,,,0:00,0.00,87,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,146,0.00
,,,,0:00,0.00,88,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,147,0.00
,,,,0:00,0.00,89,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,148,0.00
,,,,0:00,0,90,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,149,0.00
,,,,0:00,0,91,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,150,0.00
,,,,0:00,0,92,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,93,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,94,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,95,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,96,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,97,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,98,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,99,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,100,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,101,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,102,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,103,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,104,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,105,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,106,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,107,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,108,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,109,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,110,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,111,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,112,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,113,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,114,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,115,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,116,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,117,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,118,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,119,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,120,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,121,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,122,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,123,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,124,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,125,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,126,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,127,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,128,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,129,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,130,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,131,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,132,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,133,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,134,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,135,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,136,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,137,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0.00,138,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,139,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
,,,,0:00,0,140,0.15,0.15,0.02,0.28,0.11,0.00,0.33,0.05,#REF!,,
